"year","iddist","pop_landscan"
"2009",160601,30899.3
"2010",160601,31305.4
"2011",160601,27542.9
"2012",160601,30255.9
"2013",160601,28475.4
"2014",160601,28767.9
"2015",160601,27797.6
"2016",160601,26673.6
"2017",160601,26941.7
"2018",160601,22453.2
"2019",160601,20814.1
"2020",160601,21168.4
"2021",160601,19461.4
"2009",160603,4067
"2010",160603,4115.6
"2011",160603,5348.5
"2012",160603,5299.7
"2013",160603,5328.2
"2014",160603,5379.1
"2015",160603,5179.2
"2016",160603,4956.2
"2017",160603,5010.7
"2018",160603,4442
"2019",160603,4133.3
"2020",160603,5331.1
"2021",160603,4834.6
"2009",160113,129343.6
"2010",160113,130827.9
"2011",160113,123679
"2012",160113,132073.9
"2013",160113,124713.9
"2014",160113,125931.3
"2015",160113,127094.3
"2016",160113,127599
"2017",160113,128826.9
"2018",160113,114807
"2019",160113,114624.4
"2020",160113,127341
"2021",160113,121913.6
"2009",160101,180634.5
"2010",160101,182719.4
"2011",160101,172654.7
"2012",160101,181439.5
"2013",160101,194034.1
"2014",160101,195967.8
"2015",160101,197757.5
"2016",160101,198547.7
"2017",160101,200457.2
"2018",160101,169299.5
"2019",160101,150253.6
"2020",160101,145333.4
"2021",160101,131591.8
"2009",160502,3889.9
"2010",160502,3966.5
"2011",160502,3651.1
"2012",160502,1954.4
"2013",160502,3344.4
"2014",160502,3370.1
"2015",160502,3052.7
"2016",160502,2525.9
"2017",160502,2602.8
"2018",160502,1272.1
"2019",160502,1094.4
"2020",160502,981.1
"2021",160502,848.1
"2009",160703,11193.3
"2010",160703,11301.9
"2011",160703,9633
"2012",160703,14492.7
"2013",160703,9762.7
"2014",160703,9847.3
"2015",160703,9702.5
"2016",160703,10675.6
"2017",160703,10777
"2018",160703,11147.8
"2019",160703,10693.2
"2020",160703,11027.8
"2021",160703,10718.8
"2009",160403,12299.6
"2010",160403,12393.8
"2011",160403,12142
"2012",160403,9819.2
"2013",160403,12535.7
"2014",160403,12684.1
"2015",160403,12855.5
"2016",160403,13083.6
"2017",160403,13278.5
"2018",160403,12429.8
"2019",160403,13082.5
"2020",160403,8671.5
"2021",160403,9378.8
"2009",160302,6322.6
"2010",160302,6394.1
"2011",160302,5644.9
"2012",160302,3532.7
"2013",160302,5691.2
"2014",160302,5755
"2015",160302,5833.9
"2016",160302,5572.7
"2017",160302,5649.4
"2018",160302,1713.8
"2019",160302,2090.3
"2020",160302,3726.2
"2021",160302,3428.5
"2009",160701,11791.4
"2010",160701,11886.6
"2011",160701,10100.5
"2012",160701,10031.7
"2013",160701,10222.5
"2014",160701,10299.1
"2015",160701,11494.3
"2016",160701,12918.5
"2017",160701,13050.6
"2018",160701,13492.4
"2019",160701,12877.3
"2020",160701,12497
"2021",160701,12113.3
"2009",160606,6669.3
"2010",160606,6757.8
"2011",160606,6048.4
"2012",160606,6497.8
"2013",160606,6030.7
"2014",160606,6094.5
"2015",160606,5871.3
"2016",160606,5693.6
"2017",160606,5753
"2018",160606,5510.7
"2019",160606,5149.3
"2020",160606,5631.9
"2021",160606,5191
"2009",160706,9336.8
"2010",160706,9518.1
"2011",160706,7881.5
"2012",160706,5811.5
"2013",160706,8795.5
"2014",160706,8914.7
"2015",160706,8761
"2016",160706,8311.8
"2017",160706,8395.3
"2018",160706,7582.5
"2019",160706,9075
"2020",160706,7012.6
"2021",160706,8258.7
"2009",160102,6290.1
"2010",160102,6343.9
"2011",160102,5957.4
"2012",160102,4239.3
"2013",160102,6522.4
"2014",160102,6576.4
"2015",160102,6693.8
"2016",160102,6680.4
"2017",160102,6732.1
"2018",160102,5385.7
"2019",160102,4775.5
"2020",160102,2770.6
"2021",160102,2435.7
"2009",160106,2901.3
"2010",160106,2954
"2011",160106,2714.9
"2012",160106,1186.4
"2013",160106,3768.5
"2014",160106,3822.4
"2015",160106,3875.9
"2016",160106,3897.9
"2017",160106,3905.9
"2018",160106,15057
"2019",160106,21398.8
"2020",160106,18707
"2021",160106,23037.7
"2009",160304,23789.9
"2010",160304,24092.1
"2011",160304,21488.2
"2012",160304,25948.6
"2013",160304,20933.3
"2014",160304,21106.2
"2015",160304,21277.4
"2016",160304,20805.4
"2017",160304,20957
"2018",160304,23523.8
"2019",160304,22001.2
"2020",160304,17525.7
"2021",160304,18473.2
"2009",160303,11066.3
"2010",160303,11180.7
"2011",160303,9895.7
"2012",160303,8198.1
"2013",160303,10933.7
"2014",160303,11002.3
"2015",160303,11175.7
"2016",160303,10995.3
"2017",160303,11050.2
"2018",160303,9856.8
"2019",160303,9435.7
"2020",160303,8917.7
"2021",160303,8687.7
"2009",160107,8595.6
"2010",160107,8745.7
"2011",160107,8090.7
"2012",160107,4047.5
"2013",160107,8770.1
"2014",160107,8867.7
"2015",160107,8904.3
"2016",160107,8978.7
"2017",160107,9128.9
"2018",160107,7327.3
"2019",160107,6549.3
"2020",160107,10974.4
"2021",160107,14235.8
"2009",160801,4258.4
"2010",160801,4293.5
"2011",160801,3747.1
"2012",160801,1878.5
"2013",160801,3954.2
"2014",160801,3980.8
"2015",160801,4136.3
"2016",160801,5343
"2017",160801,5399.7
"2018",160801,4782.5
"2019",160801,4027.5
"2020",160801,3280.8
"2021",160801,3208.9
"2009",160110,2628.7
"2010",160110,2647.8
"2011",160110,2515.2
"2012",160110,1449.7
"2013",160110,2753.4
"2014",160110,2766.2
"2015",160110,2816.7
"2016",160110,2808.2
"2017",160110,2835.1
"2018",160110,2280.4
"2019",160110,1958.9
"2020",160110,4556
"2021",160110,5725.2
"2009",160803,3499.2
"2010",160803,3587.9
"2011",160803,3429.2
"2012",160803,2199.8
"2013",160803,3589.2
"2014",160803,3665.2
"2015",160803,3694.1
"2016",160803,3798.6
"2017",160803,3818.9
"2018",160803,1701.8
"2019",160803,1747.6
"2020",160803,3439.4
"2021",160803,3710.8
"2009",160206,12705.6
"2010",160206,12850.8
"2011",160206,13134.9
"2012",160206,12945.1
"2013",160206,17830.5
"2014",160206,18001.9
"2015",160206,18031.6
"2016",160206,18053.6
"2017",160206,18230.3
"2018",160206,19430.5
"2019",160206,16240.1
"2020",160206,12495.1
"2021",160206,11570.7
"2009",160305,6803.9
"2010",160305,6885.8
"2011",160305,6443.8
"2012",160305,5897.3
"2013",160305,6667.8
"2014",160305,6708.7
"2015",160305,6773.2
"2016",160305,9085.8
"2017",160305,9168.3
"2018",160305,8438.9
"2019",160305,10890.6
"2020",160305,11204.2
"2021",160305,11945.6
"2009",160205,5075.8
"2010",160205,5150.2
"2011",160205,5245.5
"2012",160205,4681
"2013",160205,5465.9
"2014",160205,5540.5
"2015",160205,6443.4
"2016",160205,7698.7
"2017",160205,7791.8
"2018",160205,8433.4
"2019",160205,6029.8
"2020",160205,4966
"2021",160205,3765.2
"2009",160702,3639.6
"2010",160702,3684
"2011",160702,3106
"2012",160702,2139.5
"2013",160702,3023.6
"2014",160702,3050.9
"2015",160702,3012.4
"2016",160702,2846.5
"2017",160702,2880.5
"2018",160702,2575.1
"2019",160702,2451.6
"2020",160702,5770.9
"2021",160702,5575.3
"2009",160202,3103.5
"2010",160202,3186.3
"2011",160202,2402.9
"2012",160202,1792.5
"2013",160202,2285.3
"2014",160202,2311.8
"2015",160202,2311.2
"2016",160202,2283.5
"2017",160202,2308.7
"2018",160202,2426.5
"2019",160202,2128
"2020",160202,15035.1
"2021",160202,11266.6
"2009",160511,5336.7
"2010",160511,5415.7
"2011",160511,4599.1
"2012",160511,4668.1
"2013",160511,4560.8
"2014",160511,4659.1
"2015",160511,5675.2
"2016",160511,7557.8
"2017",160511,7552.8
"2018",160511,6612.9
"2019",160511,5569.2
"2020",160511,4102.7
"2021",160511,3505.6
"2009",160501,19017.3
"2010",160501,19255.6
"2011",160501,17845.1
"2012",160501,23591.6
"2013",160501,18163.5
"2014",160501,18318
"2015",160501,16823.9
"2016",160501,14915.8
"2017",160501,15069.7
"2018",160501,13280.1
"2019",160501,11254.8
"2020",160501,13605.7
"2021",160501,11706.5
"2009",160507,1482.5
"2010",160507,1490.2
"2011",160507,1362.5
"2012",160507,807.7
"2013",160507,1238.3
"2014",160507,1248.4
"2015",160507,1137.4
"2016",160507,1023.2
"2017",160507,1032.6
"2018",160507,4163.3
"2019",160507,3991.7
"2020",160507,4317.4
"2021",160507,4065.6
"2009",160505,6176
"2010",160505,6259.9
"2011",160505,5622
"2012",160505,4650.5
"2013",160505,5682.7
"2014",160505,5738.4
"2015",160505,5270.7
"2016",160505,4639.6
"2017",160505,4713.3
"2018",160505,2937.8
"2019",160505,6986.4
"2020",160505,7163.9
"2021",160505,10615.4
"2009",160510,6336.2
"2010",160510,6411.9
"2011",160510,5942.3
"2012",160510,5959.4
"2013",160510,5931.7
"2014",160510,5980.2
"2015",160510,5487
"2016",160510,4879.5
"2017",160510,4930.8
"2018",160510,4369.9
"2019",160510,3701.5
"2020",160510,4665.2
"2021",160510,3963
"2009",160602,1087
"2010",160602,1102.1
"2011",160602,991.8
"2012",160602,1020.5
"2013",160602,1052
"2014",160602,1061.5
"2015",160602,1025.7
"2016",160602,984.5
"2017",160602,992.1
"2018",160602,831.6
"2019",160602,762.1
"2020",160602,370.8
"2021",160602,795.6
"2009",160604,5298
"2010",160604,5411.3
"2011",160604,5172.4
"2012",160604,3944.3
"2013",160604,5285.4
"2014",160604,5311.2
"2015",160604,5191.4
"2016",160604,5039.3
"2017",160604,5065.3
"2018",160604,3532.7
"2019",160604,3309.2
"2020",160604,6778.8
"2021",160604,6266.3
"2009",160211,4408.1
"2010",160211,4468.4
"2011",160211,4575
"2012",160211,4140.7
"2013",160211,4988.2
"2014",160211,5033.5
"2015",160211,5030.3
"2016",160211,5244.1
"2017",160211,5287.8
"2018",160211,5769.2
"2019",160211,6416.6
"2020",160211,5178.4
"2021",160211,5440.8
"2009",160201,72294
"2010",160201,73166.6
"2011",160201,75129.3
"2012",160201,78659.7
"2013",160201,63763.2
"2014",160201,64385.4
"2015",160201,64516.5
"2016",160201,64148
"2017",160201,64748.4
"2018",160201,72423.6
"2019",160201,76899.3
"2020",160201,72995.7
"2021",160201,72801.9
"2009",160509,1244.4
"2010",160509,1260.2
"2011",160509,1165.1
"2012",160509,1072.4
"2013",160509,1309.5
"2014",160509,1337.3
"2015",160509,1230.5
"2016",160509,1135.6
"2017",160509,1137.2
"2018",160509,894.7
"2019",160509,693.6
"2020",160509,613.7
"2021",160509,542.2
"2009",160508,1673.1
"2010",160508,1699.8
"2011",160508,1547.9
"2012",160508,1069.6
"2013",160508,1448
"2014",160508,1462.4
"2015",160508,4150.2
"2016",160508,7552.5
"2017",160508,7644.4
"2018",160508,5798.8
"2019",160508,4924.3
"2020",160508,1903.1
"2021",160508,1626.8
"2009",160504,4621.9
"2010",160504,4678.7
"2011",160504,4302.5
"2012",160504,4232.2
"2013",160504,5655.3
"2014",160504,5719.2
"2015",160504,5250.4
"2016",160504,4770.7
"2017",160504,4759.5
"2018",160504,3806.8
"2019",160504,4833.4
"2020",160504,4633.4
"2021",160504,5800.8
"2009",160210,2183.6
"2010",160210,2213.1
"2011",160210,2225.7
"2012",160210,1884
"2013",160210,2210.8
"2014",160210,2241
"2015",160210,2265.2
"2016",160210,2226.4
"2017",160210,2254.5
"2018",160210,2862.2
"2019",160210,4712.9
"2020",160210,3711.6
"2021",160210,4736.9
"2009",160503,1495.3
"2010",160503,1517.6
"2011",160503,1397.5
"2012",160503,1659.6
"2013",160503,1523.1
"2014",160503,1537.2
"2015",160503,1429.8
"2016",160503,1295.3
"2017",160503,1303.7
"2018",160503,1129.7
"2019",160503,1199.2
"2020",160503,1927.8
"2021",160503,1848.5
"2009",160506,2698.4
"2010",160506,2719.7
"2011",160506,2407.9
"2012",160506,1172.8
"2013",160506,3157.6
"2014",160506,3178.1
"2015",160506,2974.5
"2016",160506,2638.2
"2017",160506,2658.2
"2018",160506,522.3
"2019",160506,2407.2
"2020",160506,3031.3
"2021",160506,4371
"2009",160605,14493.7
"2010",160605,14665.3
"2011",160605,15574
"2012",160605,15198.9
"2013",160605,16269.6
"2014",160605,16437.6
"2015",160605,18855.1
"2016",160605,21217.6
"2017",160605,21428.6
"2018",160605,17868.7
"2019",160605,20278.3
"2020",160605,14752.4
"2021",160605,17698.2
"2009",160112,28610
"2010",160112,28935.3
"2011",160112,27362.2
"2012",160112,29986.8
"2013",160112,29276.1
"2014",160112,29568.2
"2015",160112,29834.5
"2016",160112,29958.5
"2017",160112,30240.5
"2018",160112,28766.1
"2019",160112,31086.1
"2020",160112,28937.9
"2021",160112,30281
"2009",160104,2811.5
"2010",160104,2837.4
"2011",160104,2702.9
"2012",160104,1842.1
"2013",160104,3891
"2014",160104,3925.2
"2015",160104,3964.3
"2016",160104,3957.1
"2017",160104,3999.1
"2018",160104,10988.2
"2019",160104,15086.2
"2020",160104,13685.6
"2021",160104,16746.3
"2009",160108,64502.6
"2010",160108,65237
"2011",160108,61684.7
"2012",160108,62229.1
"2013",160108,106087.6
"2014",160108,107137.3
"2015",160108,108114
"2016",160108,108551.4
"2017",160108,109576.3
"2018",160108,97605
"2019",160108,92267.8
"2020",160108,89616.5
"2021",160108,84617.2
"2009",160301,18528.3
"2010",160301,18767.1
"2011",160301,16577.4
"2012",160301,17513.7
"2013",160301,16499.4
"2014",160301,16765.5
"2015",160301,16894.3
"2016",160301,16252.4
"2017",160301,16487.6
"2018",160301,16548.8
"2019",160301,16222.4
"2020",160301,18976.1
"2021",160301,17724
"2009",160103,5307.3
"2010",160103,5345.8
"2011",160103,5142
"2012",160103,3301.3
"2013",160103,4689.7
"2014",160103,4747.3
"2015",160103,4763.3
"2016",160103,4770.6
"2017",160103,4821.1
"2018",160103,8390.9
"2019",160103,13013.9
"2020",160103,10903.6
"2021",160103,15706.4
"2009",160404,14922.3
"2010",160404,15041
"2011",160404,14648.7
"2012",160404,15479.5
"2013",160404,14330.5
"2014",160404,14474.1
"2015",160404,14335.2
"2016",160404,14033.1
"2017",160404,14160.4
"2018",160404,11381.6
"2019",160404,11167.5
"2020",160404,15246.2
"2021",160404,14661.9
"2009",160401,12704.9
"2010",160401,12836.1
"2011",160401,12120.9
"2012",160401,15501.2
"2013",160401,12181.1
"2014",160401,12319.6
"2015",160401,12715.7
"2016",160401,13583.6
"2017",160401,13689.3
"2018",160401,12403.2
"2019",160401,12590.5
"2020",160401,13360.6
"2021",160401,14405.8
"2009",160705,10990.2
"2010",160705,11053.1
"2011",160705,9223.3
"2012",160705,8404.7
"2013",160705,9455.8
"2014",160705,9579.8
"2015",160705,9422.6
"2016",160705,8900.5
"2017",160705,8975.6
"2018",160705,6167.4
"2019",160705,6157.8
"2020",160705,5399.6
"2021",160705,5383.9
"2009",160105,3189.3
"2010",160105,3206
"2011",160105,2744.6
"2012",160105,1284
"2013",160105,2769
"2014",160105,2814.3
"2015",160105,2841.5
"2016",160105,2827.4
"2017",160105,2872.3
"2018",160105,3353.5
"2019",160105,4053
"2020",160105,6773
"2021",160105,7294.4
"2009",160402,13191
"2010",160402,13295.3
"2011",160402,12627.2
"2012",160402,11825.4
"2013",160402,12964
"2014",160402,13059.1
"2015",160402,12956.9
"2016",160402,12638.1
"2017",160402,12766.9
"2018",160402,9545.7
"2019",160402,9342.9
"2020",160402,8888.3
"2021",160402,8074.6
"2009",160704,7293.9
"2010",160704,7396.2
"2011",160704,6199.9
"2012",160704,5389.3
"2013",160704,6780.7
"2014",160704,6829.5
"2015",160704,6724.9
"2016",160704,6360.7
"2017",160704,6413.7
"2018",160704,5559.1
"2019",160704,5520.1
"2020",160704,5464.2
"2021",160704,5445.3
"2009",160804,5122.9
"2010",160804,5174.1
"2011",160804,4478.9
"2012",160804,1981.6
"2013",160804,5053.5
"2014",160804,5116.3
"2015",160804,5155.5
"2016",160804,5209.1
"2017",160804,5282.6
"2018",160804,3799.7
"2019",160804,3421.6
"2020",160804,2421.5
"2021",160804,2363.9
"2009",160802,1991.5
"2010",160802,2044.1
"2011",160802,1954
"2012",160802,888
"2013",160802,2107.2
"2014",160802,2137
"2015",160802,2177.6
"2016",160802,2187.4
"2017",160802,2190.6
"2018",160802,1808.1
"2019",160802,1486.5
"2020",160802,1025.3
"2021",160802,1115.4
